Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,,White Tongue,"Vitamin B3 Deficiency, Vitamin B1 Deficiency, Vitamin K Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,Magenta Coloured Tongue,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,Not Visible / Normal,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,Swollen Red,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,White Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,Not Visible / Normal,"Vitamin B1 Deficiency, Vitamin B3 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,White Tongue,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin B12 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,Not Visible / Normal,"Vitamin B3 Deficiency, Vitamin E Deficiency, Vitamin D Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,Swollen Red,"Vitamin B5 Deficiency, Vitamin B3 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,White Tongue,"Vitamin B3 Deficiency, Vitamin B6 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,,"Vitamin B1 Deficiency, Vitamin C Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,Magenta Coloured Tongue,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,Not Visible / Normal,"Vitamin B3 Deficiency, Vitamin E Deficiency, Vitamin B3 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,Swollen Red,"Vitamin B12 Deficiency, Vitamin K Deficiency, Vitamin B9 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,White Tongue,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,Magenta Coloured Tongue,"Vitamin B7 Deficiency, Vitamin A Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,Swollen Red,"Vitamin B7 Deficiency, Vitamin B9 Deficiency, Vitamin B1 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,White Tongue,"Vitamin E Deficiency, Vitamin A Deficiency, Vitamin B3 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,,"Vitamin B9 Deficiency, Vitamin B7 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,Magenta Coloured Tongue,"Vitamin B1 Deficiency, Vitamin K Deficiency, Vitamin B5 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,Not Visible / Normal,"Vitamin B6 Deficiency, Vitamin B1 Deficiency, Vitamin B7 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,Swollen Red,"Vitamin B3 Deficiency, Vitamin D Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,White Tongue,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin A Deficiency, Vitamin B2 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,Not Visible / Normal,"Vitamin B5 Deficiency, Vitamin B6 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,Swollen Red,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,White Tongue,"Vitamin C Deficiency, Vitamin E Deficiency, Vitamin D Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,,,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,,Not Visible / Normal,"Vitamin C Deficiency, Vitamin A Deficiency, Vitamin B7 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,,Swollen Red,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,,White Tongue,"Vitamin K Deficiency, Vitamin E Deficiency, Vitamin A Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,beau's line,,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,beau's line,Magenta Coloured Tongue,"Vitamin B6 Deficiency, Vitamin B6 Deficiency, Vitamin B1 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,beau's line,Not Visible / Normal,"Vitamin B12 Deficiency, Vitamin B9 Deficiency, Vitamin B3 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,beau's line,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,beau's line,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,black line,,Vitamin B2 Deficiency,"Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,black line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,black line,Not Visible / Normal,"Vitamin B2 Deficiency, Vitamin B1 Deficiency, Vitamin B12 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,black line,Swollen Red,"Vitamin B1 Deficiency, Vitamin D Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,black line,White Tongue,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,clubbing,,"Vitamin B2 Deficiency, Vitamin B3 Deficiency, Vitamin B5 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,clubbing,Magenta Coloured Tongue,"Vitamin B7 Deficiency, Vitamin B2 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,clubbing,Not Visible / Normal,Vitamin B2 Deficiency,"Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,clubbing,Swollen Red,"Vitamin D Deficiency, Vitamin B3 Deficiency, Vitamin B3 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,clubbing,White Tongue,"Vitamin B5 Deficiency, Vitamin B12 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
